Time,temperature,wet,cloud,rain,wind
2018/11/16,23.9,85,87,1.1,29.1
2018/11/17,23.5,87,96,0.5,35.3
2018/11/18,23.8,84,85,0,24.4
2018/11/19,23.9,75,78,0,21.5
2018/11/20,23.1,80,84,0.1,36.1
2018/11/21,23.9,81,82,2.4,22
2018/11/22,20.4,65,88,0.2,34.5
2018/11/23,20.9,66,40,0,22.3
2018/11/24,21.7,73,78,0,32.1
2018/11/25,19.5,84,95,21,24.6
2018/11/26,19,89,93,15.7,22.7
2018/11/27,20.5,83,89,16.3,25.9
2018/11/28,20.3,89,88,7.7,30.8
2018/11/29,21.3,75,46,0,30.3
2018/11/30,21.5,72,46,0,32.1
2018/12/1,22.1,78,56,0,27.7
2018/12/2,22.4,83,51,0,21.5
2018/12/3,23.7,79,58,0,15
2018/12/4,24.8,78,58,0,10.5
2018/12/5,23.6,82,82,0,35.1
2018/12/6,23.3,84,83,0.1,25.2
2018/12/7,21.1,88,90,1,34.3
2018/12/8,18,76,88,0,29.6
2018/12/9,17,75,90,0,24.9
2018/12/10,17,75,88,0.2,21.4
2018/12/11,18,68,84,0,29.7
2018/12/12,14.9,67,84,0,33.6
2018/12/13,15.6,68,86,0,28
2018/12/14,16.8,72,88,0,25.6
2018/12/15,18.9,75,64,0,22.6
2018/12/16,19.3,74,88,0,20.5
2018/12/17,18,56,38,0,22.8
2018/12/18,18.1,60,38,0,27.9
2018/12/19,19.9,78,78,0,31.5
2018/12/20,21.6,84,80,0,16.9
2018/12/21,22.4,86,68,0,21.2
2018/12/22,22.2,77,66,0,21.9
2018/12/23,20.1,89,96,10.5,27.9
2018/12/24,18,86,99,0.1,27.8
2018/12/25,19.7,81,90,0,25.8
2018/12/26,20.9,84,27,0,5.9
2018/12/27,20.6,79,77,0,27.2
2018/12/28,18.1,70,79,0,34.8
2018/12/29,14,68,87,0,40.3
2018/12/30,12.6,67,83,0,37.7
2018/12/31,13.2,68,77,0,26.8
